电影名	评分	评价人数	链接	时间	演员																			
一出好戏	7.3	(233252人评价)	https://movie.douban.com/subject/26985127/	2018-08-10(中国大陆)	['黄渤', '舒淇', '王宝强', '张艺兴', '于和伟', '王迅', '李勤勤', '李又麟', '宁浩', '管虎', '梁静', '徐峥', '陈德森', '张磊', '中国大陆', '黄渤', '134分钟', '剧情', '喜剧', '黄渤', 'Bo', 'Huang', '张冀', 'Ji', 'Zhang', '郭俊立', 'Junli', 'Guo', '查慕春', 'Muchun', 'Zha...']
大话西游之月光宝盒	8.9	(490405人评价)	https://movie.douban.com/subject/1299398/	1995-01-21(香港),2014-10-24(中国大陆)	['周星驰', '吴孟达', '罗家英', '蓝洁瑛', '莫文蔚', '江约诚', '陆树铭', '刘镇伟', '朱茵', '李健仁', '香港', '中国大陆', '刘镇伟', '87分钟', '大话西游之月光宝盒', '喜剧', '爱情', '奇幻', '冒险', '刘镇伟', 'Jeffrey', 'Lau', '...']
唐伯虎点秋香	8.4	(385100人评价)	https://movie.douban.com/subject/1306249/	1993-07-01(香港)	['周星驰', '巩俐', '陈百祥', '郑佩佩', '朱咪咪', '梁家仁', '苑琼丹', '梁荣忠', '黄一山', '黄霑', '吴镇宇', '刘家辉', '蓝洁瑛', '谷德昭', '陈辉虹', '李健仁', '宣萱', '温翠萍', '香港', '李力持', '102', '分钟', '唐伯虎点秋香', '喜剧', '爱情', '...']
工作细胞	9.2	(14992人评价)	https://movie.douban.com/subject/28514091/	2018-07-07(日本)	['花泽香菜', '前野智昭', '井上喜久子', '小野大辅', '长绳麻理亚', '樱井孝宏', '早见沙织', '冈本信彦', '中村悠一', '千叶翔也', '市道真央', '川澄绫子', '远藤绫', '吉野裕行', '能登麻美子', '日本', 'hataraku-saibou.com', '铃木健一', '24分钟...']
厕所英雄	7.1	(40964人评价)	https://movie.douban.com/subject/26942645/	2017-08-11(印度),2018-06-08(中国大陆)	['阿克谢·库玛尔', '阿努潘·凯尔', '布米·佩德卡尔', '拉什·沙玛', '萨钦·克德卡', '莎娜·可汗', '迪韦严杜·沙玛', '印度', '什里·那拉扬·辛', '155分钟', '150分钟(中国大陆)', '厕所英雄', '剧情', '喜剧', '格丽玛...']
失恋33天	7.3	(417733人评价)	https://movie.douban.com/subject/4873490/	2011-11-08(中国大陆)	['白百何', '文章', '张嘉译', '王耀庆', '张子萱', '郭京飞', '曹翠芬', '魏宗万', '海清', '廖凡', '徐梵溪', '李念', '焦俊艳', '艾如', '叶一云', '赵毅', '姚笛', '李晨', '马伊琍', '陈羽凡', '张歆艺', '张默', '刘天佐', '李晓峰', '中国大陆...']
风语咒	7.0	(29244人评价)	https://movie.douban.com/subject/30146756/	2018-08-03(中国大陆)	['路知行', '阎萌萌', '褚珺', '边江', '山新', '郭政建', '张震', '苗壮', '王冠南', '张博恒', '惠龙', '王凯', '苏俣', '白雪岑', '赵述仁', '刘梓乾', '王思琦', '刘美奂', '中国大陆', '刘阔', '105分钟', '动画', '奇幻', '于奥', 'Ao', 'Yu', '周铁男', 'Tienan...']
精灵旅社3：疯狂假期	7.0	(20570人评价)	https://movie.douban.com/subject/26630714/	2018-07-13(美国),2018-08-17(中国大陆)	['亚当·桑德勒', '凯瑟琳·哈恩', '史蒂夫·布西密', '赛琳娜·戈麦斯', '阿什·布林克夫', '梅尔·布鲁克斯', '科甘-迈克尔·凯', '安迪·萨姆伯格', '法兰·德瑞雪', '大卫·斯佩德', '凯文·詹姆斯', '莫莉·香侬...']
捉妖记	6.7	(297799人评价)	https://movie.douban.com/subject/25723907/	2015-07-16(中国大陆)	['白百何', '井柏然', '姜武', '金燕玲', '钟汉良', '曾志伟', '吴君如', '汤唯', '姚晨', '闫妮', '保剑锋', '王栎鑫', '郭晓东', '李菁菁', '田雨橙', '张悦轩', '中国大陆', '香港', '许诚毅', '118分钟', '喜剧', '奇幻', '古装', '袁锦麟', 'Alan', 'Yuen...']
摩登时代	9.2	(105735人评价)	https://movie.douban.com/subject/1294371/	1936-02-25(美国)	['查理·卓别林', '宝莲·高黛', '亨利·伯格曼', 'Tiny', 'Sandford', '切斯特·康克林', '美国', '查理·卓别林', '87', '分钟', '摩登时代', '喜剧', '剧情', '爱情', '查理·卓别林', 'Charles', 'Chaplin', '英语']
