电影名	评分	评价人数	链接	时间	演员																			
13骇人游戏	6.5	7560	https://movie.douban.com/subject/6853653/	2014/4/18	['朗·普尔曼', '马克·韦伯', '普路特·泰勒·文斯', '德文·格拉耶', '卢蒂娜·卫斯理																			
1405郑和下西洋	7.9	274	https://movie.douban.com/subject/3711722/	2005/7/11	['中国大陆', '陈骞', '王俊', '纪录片', '汉语普通话']																			
14の夜	(评价人数不足)		https://movie.douban.com/subject/26745018/	2016-12-24(日本)	['犬飼直紀', '滨田麻里', '门胁麦', '和田正人', '浅川梨奈']																			
14岁的母亲	7.6	9304	https://movie.douban.com/subject/2017805/	2006-10-11(日本)	['志田未来', '田中美佐子', '山口纱弥加', '生濑胜久', '三浦春马']																			
15名动画人	8.7	19151	https://movie.douban.com/subject/3240828/	2007-05-07(日本)	['寺崎裕香', '中川玲', '前田剛', '日本', 'www.nhk.or.jp/ani-ku																			
1612动乱时代	6.5	453	https://movie.douban.com/subject/2567425/	2007/10/28	['Mikhail Porechenkov', 'Andrey Fyedorcov', 'Aleks																			
16天	8.8	3811	https://movie.douban.com/subject/1850465/	2005/12/12	['陈绮贞', '钟成虎', '陈柏州（卷毛）', '陈建琪', '樊乃纲']																			
1724妓房动乱事件	6.1	1547	https://movie.douban.com/subject/3736682/	2008/12/3	['李政宰', '金玉彬', '金锡勋', '李元宗', '韩国']																			
1776	9.1	76	https://movie.douban.com/subject/1292571/	1972/11/17	['William Daniels', 'Howard Da Silva', 'Ken Howard																			
17岁之风景	7.2	90	https://movie.douban.com/subject/1760143/	2006/4/4	['Tasuku Emoto', 'Mansaku Fuwa', 'Ichir Hariu', '日																			
17把乐带回家	5.5	160	https://movie.douban.com/subject/26933667/	2016-12-20(中国大陆)	['宋丹丹', '高亚麟', '杨紫', '张一山', '尤浩然']																			
180°以南	8.8	2325	https://movie.douban.com/subject/4783582/	Yvon Chouinard	['Jeff Johnson', 'Makohe', 'Keith Malloy', "Timmy 																			
180°：克里斯托弗诺兰对话艾尔帕西诺	8	100	https://movie.douban.com/subject/3690001/	2002-10-15 (USA)	['阿尔·帕西诺', '克里斯托弗·诺兰', '美国', 'Richard Ingber', 'US																			
180台DV的故事	7.6	66	https://movie.douban.com/subject/26292791/	2014-10-9(中国大陆)	['中国大陆', '张艺谋', 'Peng Wang', '40分钟', '纪录片']																			
187美国社会档案	7.8	485	https://movie.douban.com/subject/1302931/	1997/7/30	['Samuel L.Jackson', 'John Heard', '美国', '凯文·雷诺兹',																			
18禁不禁	6.3	2145	https://movie.douban.com/subject/2153569/	2007/4/29	['小薰', '阿本', '周晓涵', '张家宁', '唐以菲']																			
1915年的卡蜜儿	7	458	https://movie.douban.com/subject/6795226/	2013-03-13(法国)	['2013-02-12(柏林电影节)', '朱丽叶·比诺什', 'Jean-Luc Vincent																			
1920：邪灵重现	4.4	113	https://movie.douban.com/subject/20268745/	2012/10/2	['Aftab Shivdasani', 'Tia Bajpai', 'Sagar Saikia',																			
1929年大崩盘	7.5	252	https://movie.douban.com/subject/3540865/	2009/1/24	['Bill Paterson', 'John Sessions', '英国', 'Joanna B																			
1937·南京记忆	8.8	60	https://movie.douban.com/subject/25861614/	2014/12/12	['中国大陆', '52分钟', '纪录片', '汉语普通话']																			
1944	7.8	5816	https://movie.douban.com/subject/26356488/	2015/2/25	['M?rt Pius', 'Maiken Schmidt', 'Kristjan üksküla'																			
1949大迁徙	8.4	520	https://movie.douban.com/subject/2140355/	游本嘉	['中国台湾', '吴胜威', '洪慧真', '1949大迁徙', '纪录片']																			
1967-1975黑权运动呐声集	(评价人数不足)		https://movie.douban.com/subject/5973065/	美国	['瑞典', 'blackpowermixtape.com', 'G?ran Olsson', '1																			
1969	6.4	55	https://movie.douban.com/subject/1301494/	1988-11-18(美国)	['小罗伯特·唐尼', '薇诺娜·瑞德', '基弗·萨瑟兰', '布鲁斯·邓恩', '美国']																			
1980年代的爱情	6.3	4891	https://movie.douban.com/subject/25955372/	2015-09-11(中国大陆)	['芦芳生', '杨采钰', '中国大陆', '霍建起', '105分钟']																			
1984：麦金塔	8.3	80	https://movie.douban.com/subject/26312003/	1984/1/22	['David Graham', 'Anya Major', '美国', '雷德利·斯科特', '5																			
1989一念间	8.3	184	https://movie.douban.com/subject/26700591/	2016-01-22(台湾)	['张立昂', '邵雨薇', '蔡黄汝', '台湾', 'www.settv.com.tw/#!/d																			
1991：朋克突围之年	8.3	942	https://movie.douban.com/subject/1758482/	1992/11/20	['Nirvana', 'Kurt Cobain', 'Kim Gordon', '美国', 'No																			
1995穿越时间	5.6	894	https://movie.douban.com/subject/26328650/	2015/3/19	['平采娜·乐维瑟派布恩', 'Dan Aaron Ramnarong', 'Achita Pram																			
1997年中央电视台春节联欢晚会	6.1	187	https://movie.douban.com/subject/26593946/	1997/2/6	['赵忠祥', '倪萍', '程前', '周涛', '朱军']																			
19车	4.7	972	https://movie.douban.com/subject/6963295/	保罗·沃克	['Naima McLean', 'Gys De Villiers', 'Leyla Haidari																			
1公升的泪	8.9	64887	https://movie.douban.com/subject/1436900/	2005-10-11(日本)	['泽尻英龙华', '锦户亮', '药师丸博子', '藤木直人', '阵内孝则']																			
1厘米	7.2	250	https://movie.douban.com/subject/24815588/	2013-06-05(中国大陆)	['中国大陆', 'animetaste.net/21426', '熊煜聪', '冷苗', '5分4																			
1号通缉令	6.7	834	https://movie.douban.com/subject/1293260/	1997-10-10(美国)	['1998-12(中国大陆)', '基伦·埃弗瑞·韦恩斯', '强·沃特', '吉尔·亨内斯', 																			
1磅的福音	7	48	https://movie.douban.com/subject/3228342/	1988/12/2	['古谷彻', '鹤广美', '永井一郎', '柴田秀胜', '塩沢兼人']																			
2000年第27届悉尼奥运会	8.2	442	https://movie.douban.com/subject/1892807/	澳大利亚	['2000年第27届悉尼奥运会', '纪录片', '运动', '英语']																			
2001Maniacs:BehindtheScreams	(评价人数不足)		https://movie.douban.com/subject/5152125/	美国	['Sean Fernald', '纪录片', '短片', '英语']																			
2001个疯子	6	619	https://movie.douban.com/subject/1756740/	2005/5/12	['罗伯特·英格兰德', '林·沙烨', '杰赛普·安德鲁斯', '美国', 'Tim Sulliv																			
2001太空漫游	8.6	77318	https://movie.douban.com/subject/1292226/	1968-04-02(华盛顿首映)	['1968-05-15(英国)', '凯尔·杜拉', '加里·洛克伍德', '威廉姆·西尔维斯特'																			
2004年第28届雅典奥运会	8.9	76	https://movie.douban.com/subject/1892794/	2004/8/13	['希腊', '2004年第28届雅典奥运会', '运动', '希腊语', '英语']																			
2008年中央电视台春节联欢晚会	5.5	377	https://movie.douban.com/subject/26593970/	2008/2/6	['董卿', '朱军', '李咏', '周涛', '白岩松']																			
2008年第29届北京奥运会开幕式	8.8	22847	https://movie.douban.com/subject/3173528/	2008-08-08(中国大陆)	['蒂姆·达格特', 'Elfi Schlegel', 'Al Trautwig', '中国大陆',																			
2008年第29届北京奥运会赛事节目	9.5	368	https://movie.douban.com/subject/4906778/	2008-08-08(美国)	['美国', '2008年第29届北京奥运会赛事节目', '运动', '英语', '汉语普通话']																			
2009迷失的记忆	6.6	1796	https://movie.douban.com/subject/1300149/	2002/2/1	['张东健', '仲村亨', '申久', '安吉江', '金圭丽']																			
2010	7.7	5371	https://movie.douban.com/subject/1293572/	1984/12/7	['罗伊·沙伊德尔', '约翰·利特高', '海伦·米伦', '鲍勃·巴拉班', '凯尔·杜拉']																			
2010世博记忆	7.8	27	https://movie.douban.com/subject/5364916/	2010/11/3	['中国大陆', '纪录片', '普通话/国语', '英语']																			
2010??????????3D	9.6	159	https://movie.douban.com/subject/5948624/	2011/2/2	['G-Dragon', '崔胜铉', 'Taeyang', 'Daesung', 'Seung R																			
2012	7.7	264738	https://movie.douban.com/subject/3005875/	2009-11-13(中国大陆/美国)	['2012-11-20(中国大陆 3D)', '约翰·库萨克', '切瓦特·埃加福特', '阿曼达																			
2012世界末日	4.6	8593	https://movie.douban.com/subject/2979528/	2008/2/12	['克利夫·德杨', '戴尔·米德基夫', '阿米·多伦兹', '美国', 'Nick Everha																			
2012喜上加喜	6.1	12946	https://movie.douban.com/subject/7161707/	2012-01-20(香港)	['2012-06-15(中国大陆)', '曾志伟', '毛舜筠', '黄宗泽', '何韵诗']																			
2012年中央电视台春节联欢晚会	5.2	488	https://movie.douban.com/subject/26594009/	2012/1/22	['朱军', '李咏', '董卿', '毕福剑', '撒贝宁']																			
2012年第30届伦敦奥运会开幕式：奇幻岛屿	7.5	7744	https://movie.douban.com/subject/11533321/	2012-07-27(英国)	['伊丽莎白二世', '大卫·贝克汉姆', '丹尼尔·克雷格', '罗温·艾金森', 'J·K·罗琳																			
2012来了	3.5	1341	https://movie.douban.com/subject/6974521/	2011-12-31(中国大陆)	['田中千绘', '黄又南', '黄小蕾', '胡明', '戎祥']																			
2012：超时空危机	2.9	496	https://movie.douban.com/subject/4108824/	2009/10/27	['Brian Krause', 'Heather McComb', 'Najarra Townse																			
2015年中央电视台春节联欢晚会	4.3	5621	https://movie.douban.com/subject/26323782/	2015-02-18(中国大陆)	['朱军', '董卿', '康辉', '撒贝宁', '李思思']																			
2016NBA官方夺冠纪录片	(评价人数不足)		https://movie.douban.com/subject/26923003/	2016/10/24	['勒布朗·詹姆斯', '凯里·欧文', '凯文·乐福 Kevin Love', '美国', '55																			
2016年中央电视台元宵晚会	3.1	123	https://movie.douban.com/subject/26696182/	2016-02-22(中国大陆)	['周涛', '朱军', '董卿', '撒贝宁', '李思思']																			
2016年中央电视台春节联欢晚会	2.3	19497	https://movie.douban.com/subject/26613473/	2016-02-07(中国大陆)	['朱军', '周涛', '董卿', '撒贝宁', '尼格买提·热合曼']																			
2016年第31届里约热内卢奥运会开幕式	7.5	515	https://movie.douban.com/subject/26850809/	2016-08-05(巴西)	['鲍勃·科斯塔斯', '吉赛尔·邦辰', '巴西', '卡迪亚·兰德', '费尔南多·梅里尔斯']																			
2016年美国总统大选电视辩论	8.1	160	https://movie.douban.com/subject/26883706/	2016-09-26(美国)	['希拉里·罗德姆·克林顿', '唐纳德·特朗普', '美国', '', '90分钟']																			
2016最美表演	6.4	576	https://movie.douban.com/subject/26919021/	2016-12-13(中国大陆)	['刘昊然', '宋佳', '张鲁一', '周冬雨', '张译']																			
2016：奥巴马的美利坚	6.6	109	https://movie.douban.com/subject/11624737/	2012/8/24	['美国', "Dinesh D'Souza, John Sullivan", '2016：奥巴马的																			
2019：纽约陷落之后	(评价人数不足)		https://movie.douban.com/subject/2131439/	Michael Sopkiw	['Valentine Monnier', 'Anna Kanakis', 'Romano Pupp																			
203040	7.2	41913	https://movie.douban.com/subject/1310174/	2004/3/11	['张艾嘉', '刘若英', '李心洁', '梁家辉', '黄秋生']																			
2046	7.4	111799	https://movie.douban.com/subject/1291555/	2004-05-20(戛纳电影节)	['2004-09-28(中国大陆)', '2004-09-29(香港)', '梁朝伟', '章子怡																			
2069：性爱漫游	(评价人数不足)		https://movie.douban.com/subject/3206380/	1974/8/23	['Nina Frederik', 'Catharina Conti', 'Klaus Münste																			
2077日本锁国	7.1	8511	https://movie.douban.com/subject/2035642/	2007/8/18	['黑木明纱', '松雪泰子', '谷原章介', '朴璐美', '日本']																			
2081	8.3	108	https://movie.douban.com/subject/3213402/	詹姆斯·卡沙莫	['朱丽·哈基提', '阿米·汉莫', '美国', 'Chandler Tuttle', '25分钟																			
2084	(评价人数不足)		https://movie.douban.com/subject/6873076/	美国	['Taz Goldstein', '3分钟37秒', '科幻', '英语']																			
20世纪乌克兰大饥荒：灭绝指南	(评价人数不足)		https://movie.douban.com/subject/4726956/	乌克兰	['В?ктор Дерюг?н', '20世纪乌克兰大饥荒：灭绝指南', '纪录片', '英语',																			
20世纪少年	6.8	6776	https://movie.douban.com/subject/2359497/	2008/8/30	['唐泽寿明', '丰川悦司', '常盘贵子', '黑木瞳', '香川照之']																			
20世纪少年最终章我们的旗帜	7	3433	https://movie.douban.com/subject/2980437/	2009/8/29	['唐泽寿明', '丰川悦司', '平爱梨', '常盘贵子', '黑木瞳']																			
20世纪少年：第二部最后的希望	6.7	4091	https://movie.douban.com/subject/2980436/	2009/1/31	['丰川悦司', '平爱梨', '木南晴夏', '唐泽寿明', '常盘贵子']																			
20世纪的乡愁	7.4	410	https://movie.douban.com/subject/1851904/	1997/7/26	['广末凉子', '圆岛努', '余贵美子', '日本', '原将人']																			
20岁的差距	6.8	6836	https://movie.douban.com/subject/19969446/	2013-03-06(法国)	['查尔斯·贝尔林', '维尔日妮·埃菲拉', '皮埃尔·尼内', 'Gilles Cohen', 																			
20岁的微热	6.8	406	https://movie.douban.com/subject/1401530/	1993/9/4	['远藤雅', '片冈礼子', '袴田吉彦', '日本', '桥口亮辅']																			
20岁的秘密生活	3.1	153	https://movie.douban.com/subject/24891823/	2012-11-29(韩国)	['韩国', 'Seung-hwan Lee', '60分钟', '20岁的秘密生活', '韩语']																			
2112年哆啦A梦诞生	9	1121	https://movie.douban.com/subject/3558793/	1995-03-04(日本)	['大山信代', '横山智佐', '矢田稔', '太田淑子', '皆口裕子']																			
21世纪性奴	5.2	138	https://movie.douban.com/subject/20458875/	美国	['Dugald Maudsley', '21世纪性奴', '纪录片', 'Dugald Mauds																			
21克	7.1	130	https://movie.douban.com/subject/5262073/	中国大陆	['孙逊', '29分钟(导演剪辑版)', '21克', '动画', '短片']																			
21克拉	(评价人数不足)		https://movie.douban.com/subject/26691361/	郭京飞	['迪丽热巴', '中国大陆', '何念', '剧情', '爱情']																			
21岁派对	5.9	6836	https://movie.douban.com/subject/6873085/	2013-03-01(美国)	['2014-11-21(中国大陆)', '迈尔斯·特勒', '斯盖拉·阿斯丁', '全知泰', '																			
21年：昆汀·塔伦蒂诺	(评价人数不足)		https://movie.douban.com/subject/26661664/	克里斯托弗·沃尔兹	['詹妮弗·杰森·李', '塞缪尔·杰克逊', '伊莱·罗斯', '黛安·克鲁格', '佐伊·贝尔'																			
234说爱你	6.2	2411	https://movie.douban.com/subject/20472738/	2015-10-23(台湾)	['2016-09-23(中国大陆)', '秦昊', '林依晨', '简宏霖', '蔡淑臻']																			
23号公寓的坏女孩第一季	7.5	4009	https://movie.douban.com/subject/6402740/	2012/4/11	['克里斯滕·里特', '詹姆斯·范德比克', '德瑞玛·沃克', '美国', 'Jason Win																			
24号储藏室	3.9	684	https://movie.douban.com/subject/10583383/	2012-06-29(英国)	['诺埃尔·克拉克', '科林·奥多霍诺', 'Antonia Campbell-Hughes', 																			
24小时不准笑：大脱狱24小时	8.2	86	https://movie.douban.com/subject/26317307/	2014-12-31(日本)	['松本人志', '浜田雅功', '远藤章造', '田中直树', '山崎邦正']																			
24小时第一季	8.7	20405	https://movie.douban.com/subject/1298854/	2001-11-06(美国)	['基弗·萨瑟兰', '卡洛斯·博纳德', '伊丽莎·库斯伯特', '丹尼斯·海斯伯特', '莱斯利																			
24小时第七季	8.8	5448	https://movie.douban.com/subject/3310898/	2009-01-11(美国)	['基弗·萨瑟兰', '玛丽·莱恩·莱杰斯库', '达蒙·克拉克', '卡洛斯·博纳德', '安妮·																			
24小时第三季	8.8	5846	https://movie.douban.com/subject/2376728/	2003-10-28(美国)	['基弗·萨瑟兰', '伊丽莎·库斯伯特', '卡洛斯·博纳德', '蕾可·艾尔丝沃斯', '丹尼斯																			
24小时第二季	8.9	6559	https://movie.douban.com/subject/2301387/	2002-10-29(美国)	['基弗·萨瑟兰', '莎拉·温特', '丹尼斯·海斯伯特', '伊丽莎·库斯伯特', '卡洛斯·博																			
24小时第五季	9	5461	https://movie.douban.com/subject/5414534/	2006-01-15(美国)	['基弗·萨瑟兰', '卡洛斯·博纳德', '基姆·瑞弗', '杰妮·阿特金森', '美国']																			
24小时第八季	9.2	5698	https://movie.douban.com/subject/4113335/	2010-01-17(美国)	['基弗·萨瑟兰', '玛丽·莱恩·莱杰斯库', '鲍勃·冈顿', '保罗·韦斯利', '詹妮弗·威																			
24小时第六季	8.7	3620	https://movie.douban.com/subject/1960238/	2007-01-14(美国)	['基弗·萨瑟兰', '玛丽·莱恩·莱杰斯库', 'D.B.伍德塞德', '詹姆斯·莫里森', '彼																			
24小时第四季	8.9	5182	https://movie.douban.com/subject/2301383/	2005-01-09(美国)	['基弗·萨瑟兰', '丹尼斯·海斯伯特', '基姆·瑞弗', '马修·莫里森', '蕾可·艾尔丝沃																			
24小时：再活一天	8.6	7126	https://movie.douban.com/subject/4300697/	2014-05-05(美国)	['基弗·萨瑟兰', '格本加·阿金纳格贝', '本杰明·布拉特', '威廉姆·德瓦内', '泰特·																			
24小时：救赎	7.7	3931	https://movie.douban.com/subject/1966050/	2008/11/23	['基弗·萨瑟兰', '切莉·琼斯', '鲍勃·冈顿', '科鲁姆·费奥瑞', '鲍沃斯·布斯']																			
24小时：遗产	(尚未上映)		https://movie.douban.com/subject/26709459/	2017-02-05(美国)	['科里·霍金斯', '丹·布卡廷斯基', '安娜·迪奥普', '查理·霍夫赫梅尔', '米兰达·奥																			
24：逆转时空	7.7	1857	https://movie.douban.com/subject/26790890/	2016-05-06(印度)	['苏利耶·西瓦库马', '萨曼莎·鲁斯·帕布', '内森·梅农', '印度', '维克拉姆·库马尔																			
空前绝后满天飞	7.4	(9543人评价)	https://movie.douban.com/subject/1292785/	1980-07-02	['卡里姆·阿卜杜尔-贾巴尔', '劳埃德·布里吉斯', '皮特·格拉维斯', '朱丽·哈基提', '罗伯特·海斯', '莱斯利·尼尔森', '美国', '大卫·扎克', '杰瑞·扎克', '吉姆·艾布拉姆斯', '88', '分钟', '空前绝后满天飞', '喜剧', 'Jim', 'Abrahams', 'David', 'Zucker...']
请回答1997	9.0	(65440人评价)	https://movie.douban.com/subject/11516684/	2012-07-24(韩国)	['郑恩地', '徐仁国', '申素率', '殷志源', '李浩沅', '李时言', '成东日', '宋宗浩', '李日花', '金叡园', '韩国', 'program.interest.me', 'tvn', 'reply1997', '申源浩', '45分钟', '请回答1997', '剧情', '喜剧', '爱情', '李有静', 'Woo-Jeong', 'Lee', '釜山方言', '韩语']
